url, country
dc.fes.de, Europe
ifri.org, Europe
bruegel.org, Europe
chathamhouse.org, Europe
clingendael.org, Europe
iiss.org, Europe
kas.de, Europe
realinstitutoelcano.org, Europe
cskp.ru, Russia
doc-research.org, Russia
eurasian-strategies.ru, Russia
foreignpolicy.ru, Russia
iiseps.org, Russia
rethinkingrussia.ru, Russia
russiancouncil.ru, Russia
svop.ru, Russia
aei.org, United States
americaneconomicfreedomalliance.com, United States
americansforprosperity.org, United States
cei.org, United States
cv4a.org, United States
freedomworks.org, United States
heritage.org, United States
hudson.org, United States
en.news-front.info, Pseudo
geopolitica.ru, Pseudo
globalresearch.ca, Pseudo
journal-neo.org, Pseudo
katehon.com, Pseudo
southfront.org, Pseudo
strategic-culture.org, Pseudo